"pk";"ip";"loc";"zip";"reg";"ts"
29;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
30;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
31;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
32;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
33;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
34;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
35;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
36;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
37;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
38;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
39;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
40;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:09"
41;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:10"
42;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:10"
43;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
44;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
45;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
46;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
47;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
48;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
49;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
50;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
51;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
52;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
53;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
54;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
55;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
56;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
57;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:11"
58;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:12"
59;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:12"
60;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
61;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
62;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
63;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
64;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
65;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
66;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
67;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
68;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
69;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:23"
70;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
71;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
72;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
73;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
74;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
75;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
76;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
77;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
78;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
79;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
80;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:24"
81;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
82;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
83;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
84;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
85;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
86;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
87;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
88;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
89;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
90;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
91;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
92;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
93;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
94;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
95;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
96;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
97;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
98;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:25"
99;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
100;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
101;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
102;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
103;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
104;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
105;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
106;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
107;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
108;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
109;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:26"
110;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:27"
111;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:27"
112;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:27"
113;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:27"
114;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:28"
115;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:28"
116;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:28"
117;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:28"
118;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:28"
119;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:28"
120;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:28"
121;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:29"
122;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:29"
123;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:29"
124;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:29"
125;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:29"
126;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:29"
127;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:29"
128;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
129;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
130;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
131;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
132;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
133;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
134;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
135;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
136;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:30"
137;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
138;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
139;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
140;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
141;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
142;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
143;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
144;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:31"
145;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:32"
146;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:32"
147;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:32"
148;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:32"
149;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:32"
150;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:34"
151;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:34"
152;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:37"
153;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:37"
154;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:37"
155;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:37"
156;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
157;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
158;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
159;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
160;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
161;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
162;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
163;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
164;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
165;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
166;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
167;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
168;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
169;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
170;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
171;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:38"
172;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
173;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
174;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
175;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
176;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
177;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
178;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
179;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
180;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
181;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:39"
182;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:40"
183;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:40"
184;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:40"
185;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
186;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
187;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
188;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
189;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
190;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
191;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
192;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
193;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
194;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
195;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:41"
196;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
197;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
198;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
199;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
200;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
201;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
202;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
203;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
204;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
205;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:42"
206;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
207;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
208;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
209;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
210;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
211;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
212;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
213;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
214;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
215;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
216;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
217;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
218;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
219;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
220;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:43"
221;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
222;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
223;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
224;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
225;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
226;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
227;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
228;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
229;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:44"
230;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:45"
231;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:45"
232;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:45"
233;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:45"
234;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:45"
235;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:46"
236;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:46"
237;"184.3.91.65";"US";"27559";"NC";"2018-02-18 00:51:46"
238;"192.168.1.5";"";"";"";"2018-02-18 01:01:33"
239;"107.170.186.79";"US";"10011";"NY";"2018-02-18 01:02:36"
240;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
241;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
242;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
243;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
244;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
245;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
246;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
247;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:13"
248;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
249;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
250;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
251;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
252;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
253;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
254;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
255;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
256;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
257;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
258;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
259;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
260;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
261;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:14"
262;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:15"
263;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:15"
264;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:15"
265;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:15"
266;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:15"
267;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:16"
268;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:16"
269;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:16"
270;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:17"
271;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
272;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
273;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
274;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
275;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
276;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
277;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
278;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
279;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:18"
280;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:19"
281;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
282;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
283;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
284;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
285;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
286;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
287;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
288;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
289;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
290;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
291;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
292;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
293;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
294;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
295;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:20"
296;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:21"
297;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:21"
298;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:21"
299;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:21"
300;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:21"
301;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:21"
302;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:22"
303;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:22"
304;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:22"
305;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:22"
306;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
307;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
308;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
309;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
310;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
311;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
312;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
313;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
314;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:23"
315;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:25"
316;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:25"
317;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:25"
318;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:25"
319;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:25"
320;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:26"
321;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:26"
322;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:26"
323;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:26"
324;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:26"
325;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:27"
326;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:27"
327;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:27"
328;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:27"
329;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:27"
330;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:27"
331;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:28"
332;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:28"
333;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:28"
334;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:28"
335;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:28"
336;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:29"
337;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:29"
338;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:29"
339;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:29"
340;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:29"
341;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:29"
342;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:30"
343;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:30"
344;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:31"
345;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:32"
346;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:32"
347;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:32"
348;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:32"
349;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:32"
350;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:32"
351;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:33"
352;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:34"
353;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:34"
354;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:34"
355;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:35"
356;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:35"
357;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:35"
358;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:36"
359;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:36"
360;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:36"
361;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:38"
362;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:38"
363;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:38"
364;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:38"
365;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:38"
366;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:38"
367;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:40"
368;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:40"
369;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:40"
370;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:41"
371;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:42"
372;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:42"
373;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:42"
374;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:42"
375;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:43"
376;"184.3.91.65";"US";"27559";"NC";"2018-02-18 01:06:43"
